Variable,"The District of Algoma Health Unit [Health region], Ontario","Brant County Health Unit [Health region], Ontario","Chatham-Kent Health Unit [Health region], Ontario","Durham Regional Health Unit [Health region], Ontario","The Eastern Ontario Health Unit [Health region], Ontario","Grey Bruce Health Unit [Health region], Ontario","Haldimand-Norfolk Health Unit [Health region], Ontario","City of Hamilton Health Unit [Health region], Ontario","Halton Regional Health Unit [Health region], Ontario","Haliburton, Kawartha, Pine Ridge District Health Unit [Health region], Ontario","Hastings and Prince Edward Counties Health Unit [Health region], Ontario","Huron Perth Health Unit [Health region], Ontario","Kingston, Frontenac and Lennox and Addington Health Unit [Health region], Ontario","Lambton Health Unit [Health region], Ontario","Leeds, Grenville and Lanark District Health Unit [Health region], Ontario","Middlesex-London Health Unit [Health region], Ontario","Niagara Regional Area Health Unit [Health region], Ontario","North Bay Parry Sound District Health Unit [Health region], Ontario","Northwestern Health Unit [Health region], Ontario","City of Ottawa Health Unit [Health region], Ontario","Peel Regional Health Unit [Health region], Ontario","Peterborough County--City Health Unit [Health region], Ontario","Porcupine Health Unit [Health region], Ontario","Sudbury and District Health Unit [Health region], Ontario","Renfrew County and District Health Unit [Health region], Ontario","Simcoe Muskoka District Health Unit [Health region], Ontario","South West [Home and Community Care Support Services], Ontario","Thunder Bay District Health Unit [Health region], Ontario","Timiskaming Health Unit [Health region], Ontario","City of Toronto Health Unit [Health region], Ontario","Waterloo Health Unit [Health region], Ontario","Wellington-Dufferin-Guelph Health Unit [Health region], Ontario","Windsor-Essex County Health Unit [Health region], Ontario","York Regional Health Unit [Health region], Ontario"
Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data,95205,117850,85500,565965,171825,143795,95920,469795,478780,160955,143625,115565,171995,106360,151115,410405,398950,108660,61490,834205,1199070,123620,66025,168105,87820,494540,841440,126660,26685,2377950,478140,250105,346975,974535
  Number of total income recipients aged 15 years and over in private households in 2020 - 100% data,92230,113645,83255,541355,166905,140275,93200,450655,456660,156785,139095,112930,166325,103165,147165,392455,386005,105570,58640,799195,1131905,119850,63615,162850,85365,479090,812260,122130,25975,2267990,457230,241540,332050,930280
    Median total income in 2020 among recipients ($),38800,40800,38000,44000,42400,40400,40800,40400,48400,40000,38800,42000,42000,42400,42800,40400,38400,38800,42800,50000,38000,39200,42400,43600,42000,41600,40800,42400,38000,39200,42400,44800,40000,39600
  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 100% data,92260,113710,83300,541580,167010,140345,93260,450900,456980,156855,139145,113030,166395,103195,147245,392640,386175,105590,58675,799645,1132565,119895,63645,162950,85395,479515,812745,122170,25985,2268965,457445,241745,332285,930755
    Median after-tax income in 2020 among recipients ($),35600,36800,34800,39600,38400,36400,37200,36800,42800,36000,35200,38000,38000,38000,38400,36800,35200,35200,39200,44000,34800,35600,38400,39600,38000,37600,37200,38400,34800,36000,38400,40400,36400,36400
  Number of market income recipients aged 15 years and over in private households in 2020 - 100% data,78370,100245,72355,484015,146955,126620,83145,394960,421450,139050,119520,103645,148500,92180,131255,347310,341530,90625,50810,728470,990090,105995,54465,143710,74930,429225,726560,107290,21795,1971475,411945,222540,288470,835455
    Median market income in 2020 among recipients ($),31200,34800,30800,38800,37600,33200,34000,35200,44400,32000,32400,35200,36000,35200,36400,34800,30200,32400,38000,46800,33200,31800,38000,38000,36800,35200,34800,36000,33600,35600,38000,39600,33200,34800
  Number of employment income recipients aged 15 years and over in private households in 2020 - 100% data,59730,81760,57655,406195,117045,96820,65345,322360,346710,102335,90810,82695,116755,70705,100530,282430,267155,69160,41435,592955,843060,80760,44540,114800,57915,344135,582975,84150,17115,1628890,345315,184555,236635,677150
    Median employment income in 2020 among recipients ($),32000,37600,31200,40800,39600,31800,35200,37600,47600,31600,33600,36000,34800,33200,36800,35600,30400,33200,38400,47600,36000,31400,41200,39200,38800,36400,35600,37600,37600,38800,40000,41600,32800,39200
  Number of government transfers recipients aged 15 years and over in private households in 2020 - 100% data,85360,103065,76440,488120,151015,126530,84615,411095,401010,143510,127540,101105,150710,94335,132250,358070,355470,96825,52395,708155,1034125,109940,57245,147430,77275,434170,736450,111265,23680,2073950,410280,215075,306765,837975
    Median government transfers in 2020 among recipients ($),12700,9900,11400,8700,9900,10800,10300,9300,6360,12300,12000,9200,9800,10900,11000,9000,11800,12000,9500,6650,7650,11400,10000,9900,10300,9900,9400,10500,11600,8500,7250,7450,10100,8000
  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 100% data,10270,11760,8535,53040,15540,11720,8765,42345,35570,13875,11820,8790,13550,10950,12810,35210,44505,11345,5885,56355,111735,10535,6520,16920,8095,47540,72170,12775,2490,215785,41225,21555,42075,77845
    Median employment insurance benefits in 2020 among recipients ($),6000,5560,5480,5960,5640,5880,5480,5520,5520,5760,5680,5480,5520,5560,5840,5480,5680,6000,6160,5720,5520,5640,5760,5880,5840,5680,5480,5720,6200,5560,5480,5480,5480,5600
  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 100% data,21745,31545,21240,165040,38560,30810,21605,132180,125125,36710,32800,25090,40910,25600,31710,112460,115575,24195,10800,197900,399870,31330,15240,38170,17435,139895,209655,29495,5230,751475,131085,66185,103790,314575
    Median COVID-19 emergency and recovery benefits in 2020 among recipients ($),8000,8000,7700,8000,8000,8000,8000,8000,8000,8000,8000,7000,8000,8000,8000,8000,9000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,10000,8000,7500,8000,10000
Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,95260,117850,85485,565960,171825,143795,95915,469795,478780,160955,143610,115565,171975,106375,151120,410405,398950,108725,61490,834135,1199070,123620,65890,168105,87770,494560,841700,126670,26790,2377945,478145,250105,346975,974530
  Number of total income recipients aged 15 years and over in private households in 2020 - 25% sample data,92255,113560,83285,541425,166925,140225,93285,450695,456665,156895,139310,113025,166315,102990,146970,392635,385915,105570,58750,799175,1131830,119760,63510,162900,85485,479710,812780,122450,26000,2268720,457085,241720,331785,930425
    Average total income in 2020 among recipients ($),48040,50040,46640,56750,50480,55050,49480,53750,71600,51160,48080,50160,53400,54550,52150,51400,49360,48360,51160,64500,50680,50360,52550,53800,50200,53350,51250,51200,49360,62050,54750,57400,51080,59050
  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 25% sample data,92295,113630,83345,541650,167040,140285,93340,450940,456995,156950,139345,113125,166370,103000,147045,392830,386095,105575,58785,799600,1132465,119815,63545,163020,85505,480140,813265,122495,26005,2269660,457310,241930,332030,930900
    Average after-tax income in 2020 among recipients ($),41400,42520,40160,46760,43040,45400,42200,45520,55750,43040,41040,42520,44880,45520,44080,43240,41920,41440,43720,52450,42400,42640,44400,45280,42840,44440,43200,43720,41680,49080,45600,47400,43600,47520
  Number of market income recipients aged 15 years and over in private households in 2020 - 25% sample data,78435,100125,72255,484265,146930,126730,83145,394655,421675,139060,119500,103635,148575,91890,130535,347220,341600,90745,50795,728555,990355,106025,54380,143665,74905,429545,726895,107360,21905,1972460,411740,222560,288935,835085
    Average market income in 2020 among recipients ($),42560,45000,41000,52750,45800,49520,44040,49920,68800,45240,43200,44200,48640,49320,47040,47040,43080,43320,47760,61750,47360,44600,49040,49480,45640,48200,46240,46360,45400,60300,51040,52900,46360,55600
  Number of employment income recipients aged 15 years and over in private households in 2020 - 25% sample data,59770,81760,57655,406195,117045,96815,65345,322360,346710,102335,90800,82700,116755,70705,100530,282430,267155,69180,41435,592955,843060,80760,44450,114800,57920,344135,583040,84145,17165,1628880,345315,184555,236630,677155
    Average employment income in 2020 among recipients ($),42080,45520,39880,52400,46120,47680,43240,50520,69200,44040,42120,43400,45560,47480,45560,46040,42320,42600,47080,60650,48320,43280,50320,49160,46000,47320,45280,46320,47600,60100,51200,52250,44760,56950
  Number of government transfers recipients aged 15 years and over in private households in 2020 - 25% sample data,85390,103050,76485,488100,151195,126690,84735,411320,401090,143630,127655,101195,150495,94220,132195,358490,355020,96645,52475,708135,1034630,109950,57110,147575,77400,434610,737445,111405,23760,2074665,410330,214940,306745,838160
    Average government transfers in 2020 among recipients ($),12800,11430,12040,10610,11210,11360,11260,11000,9180,12090,12030,10760,10990,11520,11530,10750,12200,12150,11050,9340,10110,11840,11740,11200,11280,11250,10920,11590,12150,10500,9770,9800,11590,10170
  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 25% sample data,10305,11720,8525,53310,15735,11665,8875,42480,35580,13890,11905,8620,13765,10585,12945,35750,44855,11060,5605,55125,111620,10735,6560,16855,8455,47605,72755,12785,2540,214710,40905,21615,42570,77015
    Average employment insurance benefits in 2020 among recipients ($),7240,6590,6260,7130,6910,7090,6305,6550,6860,6740,6790,6830,6630,6700,7020,6345,6370,7410,7610,6990,6480,6770,7130,7070,7170,6600,6560,6940,7610,6470,6520,6520,6225,6700
  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 25% sample data,21540,31205,21320,164145,38310,30745,21495,131805,125035,36640,32640,25275,40795,25285,31830,112330,115270,24080,10670,196655,398650,31040,15200,38305,17420,140055,209935,29185,5210,751260,131300,65815,103970,313945
    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($),9240,8770,8350,9460,8360,8380,8220,9140,8950,8730,8750,7760,8710,8580,8640,8800,9570,8600,8440,9100,9400,8750,8460,8560,8530,8860,8450,8680,8630,10060,8410,8240,8930,10030
Total - Employment income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,95260,117850,85485,565960,171825,143795,95915,469795,478780,160955,143610,115565,171975,106375,151120,410405,398950,108725,61490,834135,1199070,123620,65890,168105,87770,494560,841700,126670,26790,2377945,478145,250105,346975,974530
  Number of employment income recipients in 2020 who worked full-year full-time in 2020 - 25% sample data,25710,39635,24895,197825,60525,43420,30425,151400,178055,44245,41315,40800,54135,29760,48540,130010,112330,30595,20005,313225,394755,34795,20565,54200,28100,159825,272075,37630,7775,764220,171060,93375,97365,325875
    Median employment income in 2020 for full-year full-time workers in 2020 ($),64000,60800,54800,71500,61200,58400,60400,64500,82000,60800,57600,56400,63600,65500,62000,61200,60000,58800,62000,77500,62800,61200,66000,67000,64000,63600,59600,63600,63200,69500,65000,65500,62400,73500
    Average employment income in 2020 for full-year full-time workers in 2020 ($),69700,68900,63000,81800,67400,76700,67300,74600,105700,72500,65900,64300,73300,79400,69700,72200,70400,68100,68700,90800,75200,71300,74500,75800,68800,73100,70000,71200,71500,95900,77700,78300,74300,90400
  Number of employment income recipients in 2020 who worked part-year or part-time in 2020 - 25% sample data,22795,31200,22860,147885,40950,37785,24655,124615,126165,39200,34480,31055,44930,28035,36755,113560,112155,26885,14315,211910,320655,32070,16490,41375,21315,136520,229680,33665,6650,628030,133555,69520,96680,255570
    Median employment income in 2020 of those who worked part-year or part-time in 2020 ($),17200,18000,18200,17000,18600,17800,18400,17800,17200,17600,17800,19000,16400,19200,17800,17200,15900,17600,21000,17000,17400,17000,21800,19400,18400,17800,18000,20200,21200,17200,18400,18200,19000,15500
    Average employment income in 2020 of those who worked part-year or part-time in 2020 ($),25880,26080,25560,27960,26560,28240,26520,27160,34200,26760,25760,26360,24880,29560,26760,26600,24920,26120,32200,29480,26880,26080,35040,30000,27280,27680,26880,29840,33240,31080,27560,27880,28240,28200
Composition of total income in 2020 of the population aged 15 years and over in private households (%) - 25% sample data,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
  Market income (%),75.4,79.2,76.2,83.2,79.8,81.4,79.4,81.4,88.8,78.4,77,80.8,81.4,80.6,80.2,81,77.2,77,80.8,87.2,81.8,78.4,80,81.2,79.6,80.8,80.6,79.4,77.4,84.6,84,84.8,79,84.4
    Employment income (%),56.7,65.4,59.2,69.2,64,59.8,61.2,67.2,73.4,56.1,57.1,63.3,59.9,59.8,59.8,64.4,59.3,57.7,64.8,69.8,71,58,67,64.4,62.1,63.6,63.3,62.2,63.7,69.6,70.6,69.4,62.5,70.2
  Government transfers (%),24.7,20.7,23.7,16.8,20.1,18.6,20.7,18.7,11.3,21.6,22.9,19.2,18.6,19.3,19.9,19.1,22.7,23,19.3,12.8,18.2,21.6,20.1,18.9,20.4,19.1,19.3,20.6,22.5,15.5,16,15.2,21,15.5
    Employment insurance benefits (%),1.7,1.4,1.4,1.2,1.3,1.1,1.2,1.2,0.8,1.2,1.2,1,1,1.3,1.2,1.1,1.5,1.6,1.4,0.8,1.3,1.2,1.4,1.4,1.4,1.2,1.2,1.4,1.5,1,1.1,1,1.6,0.9
    COVID-19 - Government income support and benefits (%),5.3,5.6,5.5,5.7,4.6,4,4.6,5.7,3.9,4.7,5.1,4.2,4.7,4.5,4.3,5.6,6.6,4.9,3.8,4,7.2,5.3,4.6,4.4,4.2,5.5,5,4.8,4.3,5.9,5.1,4.5,6.2,6.3
      COVID-19 - Emergency and recovery benefits (%),4.5,4.8,4.6,5.1,3.8,3.3,3.8,5,3.4,4,4.3,3.5,4,3.9,3.6,4.9,5.8,4.1,3,3.5,6.5,4.5,3.9,3.7,3.5,4.9,4.3,4,3.5,5.4,4.4,3.9,5.5,5.7
Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,95200,117845,85495,565960,171825,143795,95915,469795,478780,160955,143620,115565,171995,106360,151120,410405,398950,108660,61490,834205,1199075,123620,66025,168105,87820,494545,841440,126655,26680,2377950,478145,250100,346975,974535
  Without total income,2970,4200,2240,24605,4920,3525,2715,19140,22125,4170,4530,2635,5670,3195,3950,17950,12945,3090,2850,35005,67165,3770,2410,5255,2460,15460,29180,4525,710,109960,20910,8565,14925,44255
  With total income,92230,113650,83255,541360,166900,140270,93205,450655,456660,156785,139090,112925,166330,103165,147170,392455,386005,105570,58640,799200,1131905,119850,63610,162850,85360,479085,812260,122135,25975,2267990,457230,241535,332050,930280
"    Under $10,000 (including loss)",6585,8385,6495,45885,11020,10750,7005,36650,44900,11565,10030,7600,12450,8035,10220,32480,28415,7700,5660,64735,117090,8820,5045,11860,6170,36065,62900,9010,1940,211890,38745,18485,28455,95555
"    $10,000 to $19,999",12420,14080,11260,62155,20765,18550,12050,55620,48765,20710,19770,14100,20440,12605,18215,48865,49120,14665,7000,81905,149765,15915,8035,19235,11135,57825,101930,14125,3775,278130,53085,27120,41315,120405
"    $20,000 to $29,999",15400,18150,13920,77720,25565,22380,14675,71620,56505,25700,23560,17105,24700,15065,21425,61665,65355,18070,7985,99660,184440,20015,9590,22915,12975,75155,126705,17975,4610,383760,67290,33520,51550,146240
"    $30,000 to $39,999",13075,15225,12140,62180,21010,17925,11810,58465,44735,20685,18695,14680,21435,13125,18610,51405,57535,14080,6780,82070,142340,16280,7510,19940,10535,61670,105715,16135,3220,278910,56390,28340,44550,104860
"    $40,000 to $49,999",11115,13325,10565,55910,19735,15845,10875,50685,39385,18660,16785,14340,18775,11595,17550,45820,46480,12460,6430,72320,118085,14465,6795,19045,9315,54085,96750,14690,2720,221310,50835,26320,40360,83240
"    $50,000 to $59,999",8250,11380,8135,47615,16740,12505,9265,40975,34875,15030,13510,12340,15740,9630,14840,37825,35660,9990,5815,65750,95810,11135,5700,16080,8340,44540,80745,12085,2150,177155,43830,23840,31870,68610
"    $60,000 to $69,999",6180,8825,5890,38925,13805,9915,7165,32605,30170,11030,10195,9220,12875,7580,11650,28685,26495,7795,4750,60485,74105,8280,4730,12535,7185,35670,61650,9515,1775,138600,34305,19345,22770,55795
"    $70,000 to $79,999",4745,6220,4135,32160,10225,7345,5430,25030,25805,8505,7655,6600,10005,5780,8630,21390,19210,5490,3680,51760,56645,6210,3695,9395,5670,27450,45260,7310,1295,111170,26080,14580,17030,46120
"    $80,000 to $89,999",3955,4705,2870,25560,7670,5180,4080,18820,21965,6015,5070,4445,7315,4175,6615,15355,14010,3820,2590,44260,45030,4515,2650,6900,3995,20635,31845,5240,1000,90215,19560,11400,12430,38360
"    $90,000 to $99,999",3135,3610,2190,21495,5800,4030,3170,14975,19215,4665,3495,3330,5835,3445,5200,11680,11425,2830,2115,36745,34775,3520,2255,5645,2755,16405,24100,4215,815,73400,15525,9125,10225,33595
"    $100,000 and over",7375,9735,5660,71755,14565,15845,7680,45215,90340,14225,10320,9170,16755,12130,14200,37280,32295,8675,5840,139520,113825,10690,7605,19290,7300,49590,74655,11825,2675,303450,51575,29475,31490,137485
"      $100,000 to $149,999",5765,7165,4135,50360,11430,9305,5820,31605,53000,9845,7510,6505,11590,7740,10400,25845,22655,6250,4510,96330,80380,7475,6025,14525,5650,35025,51340,8815,2055,174940,35340,20130,21570,87810
"      $150,000 and over",1615,2570,1525,21395,3140,6540,1860,13610,37340,4385,2810,2665,5170,4390,3790,11440,9640,2425,1320,43190,33440,3220,1580,4765,1650,14565,23315,3015,620,128510,16230,9345,9920,49675
Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data,95200,117845,85495,565960,171825,143795,95915,469795,478780,160955,143620,115565,171995,106360,151120,410405,398950,108660,61490,834205,1199075,123620,66025,168105,87820,494545,841440,126655,26680,2377950,478145,250100,346975,974535
  Without after-tax income,2940,4135,2200,24380,4815,3450,2660,18900,21795,4100,4475,2530,5600,3165,3870,17765,12775,3075,2815,34555,66505,3725,2375,5155,2430,15025,28690,4485,695,108990,20695,8355,14690,43780
  With after-tax income,92260,113710,83295,541575,167010,140345,93260,450895,456985,156855,139145,113030,166390,103190,147245,392635,386175,105585,58675,799650,1132565,119895,63645,162955,85390,479520,812750,122170,25985,2268960,457445,241750,332285,930755
"    Under $10,000 (including loss)",6910,8830,6790,48000,11835,11755,7555,38195,47395,12600,10710,8195,13330,8790,11160,33955,30165,8265,5895,68945,120410,9475,5285,12610,6640,38700,66675,9515,2050,219700,40325,19600,29770,99700
"    $10,000 to $19,999",12845,14605,11680,65110,21540,19305,12465,58000,51120,21705,20480,14675,21335,13100,18945,50830,51460,15100,7280,85505,156060,16505,8330,19960,11470,60605,106035,14630,3885,290385,55265,28335,43005,125930
"    $20,000 to $29,999",17295,20605,15820,87685,28960,24925,16520,80540,63150,28870,26435,19335,27945,17040,24355,69465,74745,20150,8855,112255,206290,22610,10640,25920,14610,84960,142685,20450,5100,427320,76150,38115,58610,162155
"    $30,000 to $39,999",15420,17925,14365,73135,25510,21330,14015,68950,52465,24490,22180,18035,25385,15280,22660,60915,65910,16705,7930,96660,165390,19240,8940,24130,12390,72520,126540,19115,3750,317220,67555,33985,52760,118330
"    $40,000 to $49,999",11985,15860,11630,66050,23205,17605,12955,58340,47555,21195,19135,17190,21665,13270,20445,53610,51330,14175,7750,87825,136455,16035,7850,22180,11280,62680,113415,16980,3075,254395,60625,32485,45645,96810
"    $50,000 to $59,999",8555,11900,8250,53555,18455,13375,9615,44635,40860,15175,13780,12475,17315,10325,15575,39145,36180,10440,6395,80210,102270,11265,6390,17140,9380,48065,83875,12945,2420,191895,46970,25960,31880,76285
"    $60,000 to $69,999",6420,7980,5205,40660,12785,9015,6985,31745,33340,10350,9385,8065,12450,7280,11080,26870,24445,6880,4725,65565,73590,7910,4630,12035,7075,34885,56315,9110,1690,144180,32940,18655,21635,59920
"    $70,000 to $79,999",4800,5540,3330,31420,8825,6130,4810,22325,27540,7190,5840,5080,8665,5125,7610,17980,16580,4520,3280,53935,52870,5195,3600,8690,4560,24340,37140,6485,1235,107625,23275,13375,14235,48035
"    $80,000 to $89,999",3315,3970,2400,26035,6600,4450,3325,17490,24775,5205,4040,3590,6235,3920,5610,13850,12815,3395,2545,45245,41305,4270,3025,7515,3150,18985,27405,4770,1075,85860,18370,10670,11655,42510
